Time,Vultures,Jackals,Hyenas,Lions,Carrion 1,Carrion 2,Log10Carrion1,Log10Carrion2,JackalRemovalRate1,HyenaRemovalRate1,LionRemovalRate1,VultureRemovalRate1,DecayRate1,JackalRemovalRate2,HyenaRemovalRate2,LionRemovalRate2,DecayRate2
0,0.09,0.35,0.19,0.05,0.0017,0.353497708179447,-2.76955107862173,-0.451613397505685,0.00163612895394779,0.00290341227691026,0.000305298747109345,0.0196299652774242,0.000119,0.340216373827399,0.603735050463438,0.0634837690665942,0.0247448395725613
2.65,0.0902062903554796,0.353261961507228,0.190050687952829,0.0499922780991853,0.789244335449244,0.87574302135043,-0.102788526435382,-0.0576233148165223,0.356172001863233,0.388285746756737,0.102965100340962,0.105130063767142,0.0552471034814471,0.395207328101499,0.430840637986334,0.114249750066205,0.0613020114945301
5.3,0.0904169591556986,0.357360806180689,0.190113366173522,0.0500048752094072,1.00058259866079,1.1039184846906,0.000252945707782202,0.0429370054981686,0.387213971531854,0.397457759618265,0.119595557934831,0.105584671323031,0.0700407819062552,0.427203772358812,0.438505495012172,0.131946875018465,0.0772742939283418
7.95,0.0906284152422796,0.361629396764094,0.190178127251601,0.0500236175045103,1.09010278236353,1.20271251865433,0.037467448132251,0.0801618314276545,0.400744995830985,0.400105112375055,0.125813823459686,0.105896039076888,0.0763071947654474,0.442142732843028,0.441436748182336,0.138810635972001,0.0841898763058028
10.6,0.0908404655959515,0.365938966623148,0.190243568686536,0.0500446873525823,1.12535821144866,1.24192102767832,0.0512907842192466,0.0940939804347915,0.408734910117692,0.401082737311987,0.128175838753789,0.106166447764195,0.0787750748014065,0.451071022948258,0.442626250236643,0.141452088560956,0.0869344719374825
13.25,0.0910530436936939,0.370238774657724,0.190309187700462,0.0500664777887466,1.13350999519999,1.2512304890114,0.0544253540532388,0.0973373183948674,0.414235838849241,0.401370184920957,0.128751193365247,0.106419937045529,0.0793456996639991,0.457256233649654,0.4430544193522,0.142122627341082,0.0875861342307981
15.9,0.0912661199176228,0.374503838011689,0.190374754930467,0.050088212346465,1.1277623460713,1.24518824249873,0.0522175901934141,0.0952350112700089,0.418441332349051,0.4013213182169,0.12842876394661,0.106665414916737,0.078943364224991,0.462010661228087,0.443108061417915,0.141801140481465,0.0871631769749108
18.55,0.0914796797807328,0.378720434904694,0.190440154712176,0.0501094975587894,1.11499215827257,1.23138194793406,0.047271813006666,0.0903927825427058,0.421916026308051,0.401097662627293,0.127645486646693,0.10690695213132,0.0780494510790799,0.465958235208325,0.442966721741783,0.140969913398774,0.0861967363553845
21.2,0.0916937160920781,0.38288051478166,0.190505326477814,0.0501301345337874,1.09887023640444,1.21386386913988,0.0409464104027077,0.0841699847653115,0.424953703946423,0.40078151906948,0.126630209653785,0.107146622740321,0.0769209165483106,0.469423895732743,0.442722160725068,0.139881699538329,0.0849704708397919
23.85,0.0919082254830196,0.38697910988652,0.190570238521504,0.050150027717105,1.08136130146595,1.19480380257667,0.0339708234784436,0.0772965961177587,0.427714486407277,0.40041708959179,0.125506020914201,0.10738554342763,0.0756952911026162,0.472584781870553,0.442423693738979,0.13867249626121,0.0836362661803668
26.5,0.0921232066700664,0.391013004411769,0.190634874828756,0.0501691373108343,1.06350532649375,1.17535086602067,0.0267396693784273,0.0701675316547896,0.430287449360788,0.400028665248463,0.12433952095446,0.10762433101602,0.0744453728545623,0.475539438915071,0.442098432814608,0.137415920723438,0.0822745606214467
29.15,0.0923386595276387,0.394980011512078,0.190699228045499,0.0501874535747887,1.04584005384747,1.15609968011504,0.0194652705322966,0.0629952810201395,0.432722556796377,0.399629700326888,0.123166517199549,0.107863329872496,0.0732088037693232,0.478343134450092,0.441761402245706,0.136151575579309,0.0809269776080529
31.8,0.0925545845779892,0.398878570839921,0.190763295618399,0.0502049827798551,1.02863246090955,1.13734582417814,0.0122602253821662,0.0558925374198886,0.435047999169228,0.3992276606339,0.122005969889149,0.108102733350721,0.0720042722636686,0.481027037329403,0.441420944772516,0.134900448558203,0.0796142076924696
34.45,0.0927709827080107,0.402707522865215,0.190827077658829,0.0502217395384997,1.01200544767332,1.11922569386921,0.0051828503378657,0.0489176716209501,0.437279877483151,0.398826699239908,0.120867672663071,0.108342650960339,0.0708403813371324,0.483608932556959,0.441081705851097,0.133673395843567,0.0783457985708446
37.1,0.0929878550123545,0.40646598233683,0.190890575763722,0.0502377426501724,0.996006578690847,1.10179241202396,-0.00173779302238848,0.0420997770884265,0.439427647948132,0.398429147306824,0.119756480833138,0.108583145932411,0.0697204605083593,0.486099247235059,0.440746296885748,0.13247581360966,0.077125468841677
39.75,0.0932052027071557,0.410153267306956,0.190953792369146,0.0502530128751864,0.980644904600214,1.08505650290776,-0.00848822390487697,0.0354523540943411,0.441497164551368,0.398036341575002,0.118674619160283,0.108824256164361,0.068645143322015,0.488504419045646,0.440416218749072,0.131310188474862,0.0759539552035433
42.4,0.0934230270829493,0.413768858965042,0.191016730398291,0.0502675717554489,0.965910386880967,1.06900735652497,-0.0150631637381231,0.0289806938778222,0.443492357186945,0.397649078679379,0.11762292563656,0.10906600577294,0.0676137270816677,0.490828754752659,0.44009236902017,0.130177472474958,0.074830514956748
45.05,0.0936413294790684,0.417312378277063,0.191079393070117,0.0502814409959121,0.951783975769664,1.05362436871512,-0.0214616112554731,0.0226858066349361,0.445416141658227,0.397267861054849,0.116601512504272,0.109308411374254,0.0666248783038765,0.493075438353196,0.439775316637625,0.12907781401152,0.0737537058100586
