Time,Vultures,Jackals,Hyenas,Lions,Carrion 2,Log10Carrion2,JackalRemovalRate2,HyenaRemovalRate2,LionRemovalRate2,DecayRate2
111.3,0.087914905,0.491423528,0.192671464,0.050733825,1.799393213,0.255126078,1.070789442,0.836350013,0.231729312,0.125957525
113.95,0.08786582,0.493361617,0.192730728,0.050740844,1.786856748,0.252089736,1.072733999,0.836088543,0.23073408,0.125079972
116.6,0.087816762,0.495242774,0.192789823,0.050747547,1.774812008,0.249152358,1.074605706,0.835840085,0.22977248,0.124236841
119.25,0.087767731,0.49706821,0.192848752,0.050753946,1.763237741,0.246310873,1.076407017,0.835604406,0.228843393,0.123426642
121.9,0.087718728,0.49883914,0.192907516,0.05076005,1.752113692,0.243562284,1.078140312,0.835381266,0.227945728,0.122647958
124.55,0.087669753,0.500556781,0.192966121,0.05076587,1.741420553,0.240903666,1.079807897,0.835170423,0.227078427,0.121899439
127.2,0.087620804,0.502222351,0.193024568,0.050771417,1.731139918,0.238332171,1.081412007,0.834971627,0.22624046,0.121179794
129.85,0.087571883,0.503837062,0.19308286,0.050776699,1.721254233,0.235845021,1.082954806,0.834784628,0.225430827,0.120487796
132.5,0.087522989,0.505402124,0.193141001,0.050781726,1.711746761,0.233439515,1.084438392,0.834609171,0.22464856,0.119822273
135.15,0.087474123,0.506918738,0.193198992,0.050786508,1.702601531,0.23111302,1.085864795,0.834445,0.223892718,0.119182107
137.8,0.087425284,0.508388099,0.193256838,0.050791052,1.693803311,0.228862977,1.087235981,0.834291859,0.223162389,0.118566232
140.45,0.087376472,0.50981139,0.19331454,0.050795368,1.68533756,0.2266869,1.088553852,0.834149489,0.222456689,0.117973629
143.1,0.087327687,0.511189785,0.193372101,0.050799463,1.677190401,0.224582368,1.089820249,0.834017633,0.221774764,0.117403328
145.75,0.08727893,0.512524444,0.193429523,0.050803345,1.669348587,0.222547034,1.091036953,0.833896034,0.221115785,0.116854401
148.4,0.0872302,0.513816513,0.19348681,0.050807022,1.661799467,0.220578615,1.092205687,0.833784436,0.22047895,0.116325963
151.05,0.087181497,0.515067122,0.193543963,0.050810501,1.65453096,0.218674898,1.093328119,0.833682586,0.219863484,0.115817167
153.7,0.087132821,0.516277389,0.193600985,0.050813788,1.647531522,0.216833733,1.094405859,0.833590231,0.219268636,0.115327207
156.35,0.087084173,0.517448412,0.193657878,0.050816892,1.640790126,0.215053034,1.095440466,0.833507121,0.218693681,0.114855309
159,0.087035551,0.518581272,0.193714644,0.050819818,1.634296234,0.21333078,1.096433447,0.833433008,0.218137917,0.114400736
161.65,0.086986957,0.519677032,0.193771286,0.050822573,1.628039769,0.211665009,1.097386258,0.833367649,0.217600666,0.113962784
164.3,0.08693839,0.520736738,0.193827805,0.050825162,1.622011101,0.210053822,1.098300307,0.833310802,0.217081273,0.113540777
166.95,0.08688985,0.521761415,0.193884204,0.050827592,1.61620102,0.208495377,1.099176955,0.833262229,0.216579106,0.113134071
169.6,0.086841337,0.52275207,0.193940485,0.050829868,1.610600715,0.206987888,1.100017515,0.833221697,0.216093552,0.11274205
172.25,0.086792851,0.523709688,0.19399665,0.050831996,1.60520176,0.205529627,1.100823258,0.833188974,0.215624022,0.112364123
174.9,0.086744392,0.524635235,0.1940527,0.050833982,1.599996089,0.204118921,1.10159541,0.833163835,0.215169945,0.111999726
177.55,0.08669596,0.525529658,0.194108637,0.050835829,1.594975987,0.202754149,1.102335159,0.833146057,0.21473077,0.111648319
180.2,0.086647556,0.526393881,0.194164464,0.050837543,1.590134065,0.201433741,1.103043648,0.833135422,0.214305966,0.111309385
182.85,0.086599178,0.527228809,0.194220181,0.050839129,1.585463251,0.20015618,1.103721983,0.833131716,0.21389502,0.110982428
185.5,0.086550828,0.528035327,0.194275791,0.050840591,1.580956774,0.198919996,1.104371233,0.83313473,0.213497437,0.110666974
188.15,0.086502504,0.528814297,0.194331296,0.050841934,1.576608148,0.197723767,1.10499243,0.833144259,0.213112739,0.11036257
190.8,0.086454207,0.529566562,0.194386696,0.050843162,1.572411158,0.196566117,1.105586568,0.833160101,0.212740465,0.110068781
193.45,0.086405938,0.530292945,0.194441994,0.050844279,1.568359854,0.195445717,1.106154609,0.833182061,0.212380171,0.10978519
196.1,0.086357695,0.530994248,0.19449719,0.050845288,1.564448532,0.19436128,1.106697483,0.833209948,0.212031426,0.109511397
198.75,0.086309479,0.531671252,0.194552287,0.050846195,1.560671724,0.193311562,1.107216086,0.833243573,0.211693817,0.109247021
201.4,0.08626129,0.532324719,0.194607285,0.050847002,1.557024191,0.19229536,1.107711282,0.833282754,0.211366945,0.108991693
204.05,0.086213128,0.53295539,0.194662187,0.050847713,1.553500911,0.191311512,1.108183908,0.833327314,0.211050424,0.108745064
206.7,0.086164993,0.533563988,0.194716993,0.050848331,1.550097065,0.190358894,1.108634768,0.833377077,0.210743882,0.108506795
209.35,0.086116885,0.534151216,0.194771705,0.05084886,1.546808034,0.189436419,1.109064643,0.833431876,0.210446962,0.108276562
212,0.086068803,0.534717757,0.194826323,0.050849302,1.54362939,0.188543039,1.109474281,0.833491544,0.210159318,0.108054057
