Fraction,Vultures,Jackals,Hyenas,Lions,Carrion 1,Carrion 2,Eig 1,Eig 2,Eig 3,Eig 4,Eig 5,Eig 6
0.871743486973948,1.26915886100586,0.509911315982584,0.228582477868234,0.0463719021267006,0.00177027006244296,0.919635887676721,-132.774837741566,-0.768507120025417,-0.0125576926337475,-0.00144605625538525,-0.000613325538920807,-0.00020735406894149
0.87374749498998,1.24910528830295,0.510328304111389,0.228684357943494,0.0464084028453337,0.00177027006244296,0.923942857783753,-130.705642165406,-0.765356951150339,-0.0125708199695225,-0.0014473864702963,-0.000613414998383739,-0.000207308515578377
0.875751503006012,1.22905166020631,0.510744871987434,0.228785851958772,0.0464449736176968,0.00177027006244296,0.928267298864887,-128.636447859796,-0.762218390483283,-0.0125839176747941,-0.00144871985352785,-0.000613503827012856,-0.000207261485184675
0.877755511022044,1.20899797669957,0.511161017823393,0.22888696151657,0.0464816144320658,0.00177027006244296,0.932609292102959,-126.567254826147,-0.759091398113414,-0.0125969856011242,-0.00145005640801618,-0.000613592029879722,-0.000207212905316202
0.879759519038076,1.18894423776692,0.511576739838869,0.228987688211349,0.0465183252757128,0.00177027006244296,0.936968919119073,-124.498063065886,-0.755975934316667,-0.0126100236009283,-0.00145139613665693,-0.000613679612009738,-0.000207162698712885
0.881763527054108,1.16889044339302,0.51199203626038,0.229088033629563,0.0465551061348974,0.00177027006244296,0.941346261974878,-122.42887258046,-0.752871959551595,-0.0126230315274993,-0.00145273904230478,-0.000613766578383086,-0.000207110782891437
0.88376753507014,1.14883659356303,0.512406905321338,0.229187999349702,0.0465919569948578,0.00177027006244296,0.945741403174851,-120.359683371342,-0.749779434454963,-0.0126360092350326,-0.00145408512777324,-0.000613852933935699,-0.000207057069696805
0.885771543086172,1.12878268826259,0.512821345262027,0.229287586942329,0.046628877839802,0.00177027006244296,0.950154425668588,-118.290495440031,-0.746698319837075,-0.0126489565786552,-0.00145543439583442,-0.000613938683560291,-0.000207001464805785
0.887775551102204,1.10872872747777,0.513235354329589,0.229386797970121,0.046665868652899,0.00177027006244296,0.954585412853108,-116.221308788058,-0.743628576676791,-0.0126618734144568,-0.0014567868492189,-0.000614023832107417,-0.000206943867178136
0.889779559118236,1.08867471119514,0.513648930778001,0.229485633987904,0.0467029294162694,0.00177027006244296,0.959034448575151,-114.152123416991,-0.74057016611619,-0.0126747595995241,-0.00145814249061568,-0.000614108384386596,-0.000206884168447647
0.891783567134269,1.06862063940168,0.514062072868058,0.229584096542694,0.046740060110977,0.00177027006244296,0.963501617133496,-112.082939328438,-0.737523049454832,-0.0126876149919795,-0.00145950132267208,-0.000614192345167511,-0.000206822252245987
0.893787575150301,1.04856651208479,0.514474778867352,0.229682187173735,0.0467772607170193,0.00177027006244296,0.967987003281277,-110.013756524056,-0.734487188143598,-0.0127004394510235,-0.00146086334799387,-0.000614275719181263,-0.000206757993450205
0.895791583166333,1.02851232923229,0.514887047050256,0.229779907412536,0.0468145312133184,0.00177027006244296,0.972490692228308,-107.944575005553,-0.731462543777975,-0.0127132328369815,-0.00146222856914538,-0.000614358511121716,-0.000206691257343636
